"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.8","","","","1"
"2020-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.4","","","","1"
"2020-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.6","","","","1"
"2020-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","135.7","","","","1"
"2020-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.1","","","","1"
"2020-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.2","","","","1"
"2020-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.2","","","","1"
"2020-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.0","","","","1"
"2020-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.9","","","","1"
"2020-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.5","","","","1"
"2020-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.7","","","","1"
"2020-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.4","","","","1"
"2021-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","138.2","","","","1"
"2021-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","138.9","","","","1"
"2021-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","139.6","","","","1"
"2021-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","140.3","","","","1"
"2021-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","141.0","","","","1"
"2021-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","141.4","","","","1"
"2021-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","142.3","","","","1"
"2021-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","142.6","","","","1"
"2021-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","142.9","","","","1"
"2021-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","143.9","","","","1"
"2021-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","144.2","","","","1"
"2020-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.5","","","","1"
"2020-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","152.9","","","","1"
"2020-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","152.8","","","","1"
"2020-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","154.0","","","","1"
"2020-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","154.3","","","","1"
"2020-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","154.8","","","","1"
"2020-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.0","","","","1"
"2020-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.8","","","","1"
"2020-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","152.6","","","","1"
"2020-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.3","","","","1"
"2020-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.9","","","","1"
"2020-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.6","","","","1"
"2021-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.0","","","","1"
"2021-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.6","","","","1"
"2021-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.5","","","","1"
"2021-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.4","","","","1"
"2021-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","156.6","","","","1"
"2021-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","156.8","","","","1"
"2021-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","157.6","","","","1"
"2021-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","158.0","","","","1"
"2021-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","158.5","","","","1"
"2021-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","159.2","","","","1"
"2021-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","160.7","","","","1"
"2020-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41691050","2.79","146.4","","","","1"
