ObjectId,Date,Daily_Cases,Cumulative_Cases,Recoveries,Total_Recoveries,Deaths,Total_Deaths,New_ICU_Admissions,Current_ICU___Total,Current_ICU___Active,Cumulative_ICU_Admissions,New_IP_Admissions_Total,Current_Hospitalizations___Tota,Current_Hospitalizations___Acti,Cumulative_IP_Admissions,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,Cumulative_Tests
402,2021/04/15 05:00:00+00,108,35812,94,33146,1,961,0,29,19,481,10,151,75,2547,56,1630,5,2943,616894
403,2021/04/16 05:00:00+00,178,35990,111,33257,1,962,1,28,18,482,5,149,74,2552,56,1697,5.3,3104,619998
404,2021/04/17 05:00:00+00,169,36159,115,33372,1,963,0,27,17,482,8,153,77,2560,60,1747,5.6,2383,622381
405,2021/04/18 05:00:00+00,109,36268,132,33504,1,964,1,25,16,483,9,153,79,2569,63,1721,5.8,2542,624923
406,2021/04/19 05:00:00+00,203,36471,110,33614,2,966,2,27,18,485,5,150,80,2574,62,1811,6.1,2437,627360
407,2021/04/20 05:00:00+00,162,36633,142,33756,3,969,2,26,18,487,13,154,84,2587,66,1824,6.3,3189,630549
408,2021/04/21 05:00:00+00,262,36895,426,34182,4,973,4,29,20,491,15,163,89,2602,69,1651,6.4,3765,634314
409,2021/04/22 05:00:00+00,177,37072,128,34310,3,976,3,31,22,494,10,163,89,2612,67,1697,6.5,3800,638114
410,2021/04/23 05:00:00+00,275,37347,144,34454,1,977,1,28,20,495,5,163,94,2617,74,1822,6.9,3068,641182
411,2021/04/24 05:00:00+00,265,37612,180,34634,2,979,2,28,20,497,7,165,94,2624,74,1905,7.1,3021,644203
412,2021/04/25 05:00:00+00,208,37820,164,34798,2,981,2,26,18,499,12,171,99,2636,81,1942,7.6,2819,647022
413,2021/04/26 05:00:00+00,207,38027,156,34954,0,981,4,29,20,503,11,168,99,2647,79,1993,7.5,2817,649839
414,2021/04/27 05:00:00+00,204,38231,145,35099,0,981,2,30,22,505,7,167,95,2654,73,2056,7.3,3738,653577
415,2021/04/28 05:00:00+00,220,38451,170,35269,1,982,2,32,24,507,17,170,101,2671,77,2099,7.1,3522,657099
416,2021/04/29 05:00:00+00,291,38742,202,35471,2,984,3,32,23,510,20,178,107,2691,84,2180,7.1,3769,660868
417,2021/04/30 05:00:00+00,285,39027,189,35660,2,986,2,32,24,512,14,181,110,2705,86,2271,7.3,4070,664938
418,2021/05/01 05:00:00+00,275,39302,203,35863,1,987,3,33,24,515,16,194,122,2721,98,2330,7.7,3248,668186
419,2021/05/02 05:00:00+00,240,39542,172,36035,1,988,5,35,26,520,21,206,129,2742,103,2390,8,2960,671146
420,2021/05/03 05:00:00+00,300,39842,190,36225,3,991,8,41,34,528,16,214,138,2758,104,2488,8.5,2897,674043
421,2021/05/04 05:00:00+00,269,40111,203,36428,3,994,3,41,33,531,16,213,141,2774,108,2548,8.7,3048,677091
422,2021/05/05 05:00:00+00,372,40483,426,36854,1,995,8,46,38,539,18,215,140,2792,102,2494,9.1,3999,681090
423,2021/05/06 05:00:00+00,473,40956,303,37157,3,998,4,44,36,543,27,233,158,2819,122,2643,9.6,4813,685903
424,2021/05/07 05:00:00+00,501,41457,325,37482,5,1003,11,50,41,554,17,229,154,2836,113,2818,10.4,4692,690595
425,2021/05/08 05:00:00+00,495,41952,334,37816,1,1004,3,47,37,557,17,238,160,2853,123,2972,10.9,4311,694906
426,2021/05/09 05:00:00+00,522,42474,293,38109,1,1005,4,47,37,561,13,243,164,2866,127,3196,11.6,3843,698749
427,2021/05/10 05:00:00+00,353,42827,291,38400,3,1008,10,52,42,571,26,243,167,2892,125,3252,12,3065,701814
428,2021/05/11 05:00:00+00,338,43165,278,38678,1,1009,3,53,42,574,24,252,176,2916,134,3302,12.1,3668,705482
429,2021/05/12 05:00:00+00,586,43751,503,39181,2,1011,5,55,45,579,27,266,190,2943,145,3369,12,5018,710500
430,2021/05/13 05:00:00+00,457,44208,421,39602,4,1015,6,59,48,585,17,262,184,2960,136,3407,11.8,4006,714506
431,2021/05/14 05:00:00+00,447,44655,385,39987,2,1017,5,61,51,590,31,269,192,2991,141,3459,11.9,3808,718314
432,2021/05/15 05:00:00+00,530,45185,337,40324,3,1020,7,63,54,597,33,284,212,3024,158,3629,12.3,3693,722007
433,2021/05/16 05:00:00+00,421,45606,333,40657,4,1024,8,63,54,605,20,290,213,3044,159,3712,12.7,3227,725234
434,2021/05/17 05:00:00+00,380,45986,390,41047,3,1027,7,60,52,612,32,290,210,3076,158,3702,13,3011,728245
435,2021/05/18 05:00:00+00,383,46369,327,41374,0,1027,3,62,54,615,33,303,223,3109,169,3745,13.4,3450,731695
436,2021/05/19 05:00:00+00,601,46970,533,41907,4,1031,7,61,52,622,30,306,224,3139,172,3808,13.7,3872,735567
437,2021/05/20 05:00:00+00,585,47555,456,42363,4,1035,5,60,48,627,24,309,223,3163,175,3934,14,4006,739573
