"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-04-21,"BC","Vancouver Island","North Vancouver Island",0,2.29
2020-04-21,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-21,"Out of Canada","Out of Canada","Out of Canada",1,0.14
2020-04-22,"BC","All","All",30,33.43
2020-04-22,"BC","Fraser","All",12,16
2020-04-22,"BC","Fraser","Fraser East",4,6
2020-04-22,"BC","Fraser","Fraser North",3,6.43
2020-04-22,"BC","Fraser","Fraser South",5,3.57
2020-04-22,"BC","Fraser","Unknown",0,0
2020-04-22,"BC","Interior","All",6,2.43
2020-04-22,"BC","Interior","East Kootenay",1,0.57
2020-04-22,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-22,"BC","Interior","Okanagan",4,1.14
2020-04-22,"BC","Interior","Thompson Cariboo Shuswap",1,0.57
2020-04-22,"BC","Northern","All",1,1.29
2020-04-22,"BC","Northern","Northeast",0,0.43
2020-04-22,"BC","Northern","Northern Interior",1,0.86
2020-04-22,"BC","Northern","Northwest",0,0
2020-04-22,"BC","Northern","Unknown",0,0
2020-04-22,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-22,"BC","Vancouver Coastal","All",9,11.29
2020-04-22,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",4,2.29
2020-04-22,"BC","Vancouver Coastal","Richmond",0,0.14
2020-04-22,"BC","Vancouver Coastal","Unknown",0,0
2020-04-22,"BC","Vancouver Coastal","Vancouver",5,8.86
2020-04-22,"BC","Vancouver Island","All",2,2.43
2020-04-22,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-04-22,"BC","Vancouver Island","North Vancouver Island",2,2.29
2020-04-22,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-22,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-04-23,"BC","All","All",61,36.71
2020-04-23,"BC","Fraser","All",43,18.57
2020-04-23,"BC","Fraser","Fraser East",28,7.71
2020-04-23,"BC","Fraser","Fraser North",9,7
2020-04-23,"BC","Fraser","Fraser South",6,3.86
2020-04-23,"BC","Fraser","Unknown",0,0
2020-04-23,"BC","Interior","All",2,2.43
2020-04-23,"BC","Interior","East Kootenay",0,0.29
2020-04-23,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-23,"BC","Interior","Okanagan",2,1.43
2020-04-23,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-04-23,"BC","Northern","All",0,1.14
2020-04-23,"BC","Northern","Northeast",0,0.43
2020-04-23,"BC","Northern","Northern Interior",0,0.71
2020-04-23,"BC","Northern","Northwest",0,0
2020-04-23,"BC","Northern","Unknown",0,0
2020-04-23,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-23,"BC","Vancouver Coastal","All",12,11.57
2020-04-23,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",5,2.29
2020-04-23,"BC","Vancouver Coastal","Richmond",0,0
2020-04-23,"BC","Vancouver Coastal","Unknown",0,0
2020-04-23,"BC","Vancouver Coastal","Vancouver",7,9.29
2020-04-23,"BC","Vancouver Island","All",4,3
2020-04-23,"BC","Vancouver Island","Central Vancouver Island",2,0.43
2020-04-23,"BC","Vancouver Island","North Vancouver Island",2,2.57
2020-04-23,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-23,"Out of Canada","Out of Canada","Out of Canada",2,0.43
2020-04-24,"BC","All","All",68,43.14
2020-04-24,"BC","Fraser","All",54,24.57
2020-04-24,"BC","Fraser","Fraser East",23,10.29
2020-04-24,"BC","Fraser","Fraser North",16,8.57
2020-04-24,"BC","Fraser","Fraser South",15,5.71
2020-04-24,"BC","Fraser","Unknown",0,0
2020-04-24,"BC","Interior","All",3,2.71
2020-04-24,"BC","Interior","East Kootenay",1,0.29
2020-04-24,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-24,"BC","Interior","Okanagan",2,1.71
2020-04-24,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-04-24,"BC","Northern","All",0,1
2020-04-24,"BC","Northern","Northeast",0,0.29
2020-04-24,"BC","Northern","Northern Interior",0,0.71
2020-04-24,"BC","Northern","Northwest",0,0
2020-04-24,"BC","Northern","Unknown",0,0
2020-04-24,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-24,"BC","Vancouver Coastal","All",10,12.14
2020-04-24,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",3,2.57
2020-04-24,"BC","Vancouver Coastal","Richmond",0,0
2020-04-24,"BC","Vancouver Coastal","Unknown",0,0
2020-04-24,"BC","Vancouver Coastal","Vancouver",7,9.57
2020-04-24,"BC","Vancouver Island","All",1,2.71
2020-04-24,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-24,"BC","Vancouver Island","North Vancouver Island",1,2.29
2020-04-24,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-24,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-04-25,"BC","All","All",32,44.14
2020-04-25,"BC","Fraser","All",11,25.29
2020-04-25,"BC","Fraser","Fraser East",3,10.71
2020-04-25,"BC","Fraser","Fraser North",4,8.57
2020-04-25,"BC","Fraser","Fraser South",4,6
2020-04-25,"BC","Fraser","Unknown",0,0
2020-04-25,"BC","Interior","All",2,2.86
2020-04-25,"BC","Interior","East Kootenay",0,0.29
2020-04-25,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-25,"BC","Interior","Okanagan",2,1.86
2020-04-25,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-04-25,"BC","Northern","All",0,0.29
2020-04-25,"BC","Northern","Northeast",0,0
2020-04-25,"BC","Northern","Northern Interior",0,0.29
2020-04-25,"BC","Northern","Northwest",0,0
2020-04-25,"BC","Northern","Unknown",0,0
2020-04-25,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-25,"BC","Vancouver Coastal","All",18,13.43
2020-04-25,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",9,3.86
2020-04-25,"BC","Vancouver Coastal","Richmond",1,0.14
2020-04-25,"BC","Vancouver Coastal","Unknown",0,0
2020-04-25,"BC","Vancouver Coastal","Vancouver",8,9.43
2020-04-25,"BC","Vancouver Island","All",1,2.29
2020-04-25,"BC","Vancouver Island","Central Vancouver Island",1,0.43
2020-04-25,"BC","Vancouver Island","North Vancouver Island",0,1.86
2020-04-25,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-25,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-04-26,"BC","All","All",26,44.86
2020-04-26,"BC","Fraser","All",20,26.86
2020-04-26,"BC","Fraser","Fraser East",2,10.43
2020-04-26,"BC","Fraser","Fraser North",9,9.29
2020-04-26,"BC","Fraser","Fraser South",9,7.14
2020-04-26,"BC","Fraser","Unknown",0,0
2020-04-26,"BC","Interior","All",4,2.71
2020-04-26,"BC","Interior","East Kootenay",0,0.29
2020-04-26,"BC","Interior","Kootenay Boundary",0,0
2020-04-26,"BC","Interior","Okanagan",3,1.86
2020-04-26,"BC","Interior","Thompson Cariboo Shuswap",1,0.57
2020-04-26,"BC","Northern","All",0,0.14
2020-04-26,"BC","Northern","Northeast",0,0
2020-04-26,"BC","Northern","Northern Interior",0,0.14
2020-04-26,"BC","Northern","Northwest",0,0
2020-04-26,"BC","Northern","Unknown",0,0
2020-04-26,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-26,"BC","Vancouver Coastal","All",1,12.86
2020-04-26,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,3.86
2020-04-26,"BC","Vancouver Coastal","Richmond",0,0.14
2020-04-26,"BC","Vancouver Coastal","Unknown",0,0
2020-04-26,"BC","Vancouver Coastal","Vancouver",0,8.86
2020-04-26,"BC","Vancouver Island","All",1,2.29
2020-04-26,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-26,"BC","Vancouver Island","North Vancouver Island",1,1.86
2020-04-26,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-26,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-04-27,"BC","All","All",55,46.43
2020-04-27,"BC","Fraser","All",37,27.71
2020-04-27,"BC","Fraser","Fraser East",9,10.43
2020-04-27,"BC","Fraser","Fraser North",8,8.14
2020-04-27,"BC","Fraser","Fraser South",20,9.14
2020-04-27,"BC","Fraser","Unknown",0,0
2020-04-27,"BC","Interior","All",0,2.57
2020-04-27,"BC","Interior","East Kootenay",0,0.29
2020-04-27,"BC","Interior","Kootenay Boundary",0,0
2020-04-27,"BC","Interior","Okanagan",0,1.86
2020-04-27,"BC","Interior","Thompson Cariboo Shuswap",0,0.43
2020-04-27,"BC","Northern","All",3,0.57
2020-04-27,"BC","Northern","Northeast",0,0
2020-04-27,"BC","Northern","Northern Interior",3,0.57
2020-04-27,"BC","Northern","Northwest",0,0
2020-04-27,"BC","Northern","Unknown",0,0
2020-04-27,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-27,"BC","Vancouver Coastal","All",12,13.86
2020-04-27,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,3.86
2020-04-27,"BC","Vancouver Coastal","Richmond",2,0.43
2020-04-27,"BC","Vancouver Coastal","Unknown",0,0
2020-04-27,"BC","Vancouver Coastal","Vancouver",10,9.57
2020-04-27,"BC","Vancouver Island","All",3,1.71
2020-04-27,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-27,"BC","Vancouver Island","North Vancouver Island",3,1.29
2020-04-27,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-27,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2020-04-28,"BC","All","All",29,43
2020-04-28,"BC","Fraser","All",22,28.43
2020-04-28,"BC","Fraser","Fraser East",14,11.86
2020-04-28,"BC","Fraser","Fraser North",5,7.71
2020-04-28,"BC","Fraser","Fraser South",3,8.86
2020-04-28,"BC","Fraser","Unknown",0,0
2020-04-28,"BC","Interior","All",1,2.57
2020-04-28,"BC","Interior","East Kootenay",0,0.29
2020-04-28,"BC","Interior","Kootenay Boundary",0,0
2020-04-28,"BC","Interior","Okanagan",1,2
2020-04-28,"BC","Interior","Thompson Cariboo Shuswap",0,0.29
2020-04-28,"BC","Northern","All",1,0.71
2020-04-28,"BC","Northern","Northeast",0,0
2020-04-28,"BC","Northern","Northern Interior",1,0.71
2020-04-28,"BC","Northern","Northwest",0,0
2020-04-28,"BC","Northern","Unknown",0,0
2020-04-28,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-28,"BC","Vancouver Coastal","All",4,9.43
2020-04-28,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,3.43
2020-04-28,"BC","Vancouver Coastal","Richmond",0,0.43
2020-04-28,"BC","Vancouver Coastal","Unknown",0,0
2020-04-28,"BC","Vancouver Coastal","Vancouver",2,5.57
2020-04-28,"BC","Vancouver Island","All",1,1.86
2020-04-28,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-28,"BC","Vancouver Island","North Vancouver Island",1,1.43
2020-04-28,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-28,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-04-29,"BC","All","All",30,43
2020-04-29,"BC","Fraser","All",24,30.14
2020-04-29,"BC","Fraser","Fraser East",15,13.43
2020-04-29,"BC","Fraser","Fraser North",7,8.29
2020-04-29,"BC","Fraser","Fraser South",2,8.43
2020-04-29,"BC","Fraser","Unknown",0,0
2020-04-29,"BC","Interior","All",3,2.14
2020-04-29,"BC","Interior","East Kootenay",0,0.14
2020-04-29,"BC","Interior","Kootenay Boundary",0,0
2020-04-29,"BC","Interior","Okanagan",2,1.71
2020-04-29,"BC","Interior","Thompson Cariboo Shuswap",1,0.29
2020-04-29,"BC","Northern","All",0,0.57
2020-04-29,"BC","Northern","Northeast",0,0
2020-04-29,"BC","Northern","Northern Interior",0,0.57
2020-04-29,"BC","Northern","Northwest",0,0
2020-04-29,"BC","Northern","Unknown",0,0
2020-04-29,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-04-29,"BC","Vancouver Coastal","All",3,8.57
2020-04-29,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,2.86
2020-04-29,"BC","Vancouver Coastal","Richmond",0,0.43
2020-04-29,"BC","Vancouver Coastal","Unknown",0,0
2020-04-29,"BC","Vancouver Coastal","Vancouver",3,5.29
2020-04-29,"BC","Vancouver Island","All",0,1.57
2020-04-29,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-29,"BC","Vancouver Island","North Vancouver Island",0,1.14
2020-04-29,"BC","Vancouver Island","South Vancouver Island",0,0
