Date,0
2021-01-26,2580
2021-01-27,2528
2021-01-28,2434
2021-01-29,2326
2021-01-30,2272
2021-01-31,2288
2021-02-01,2220
2021-02-02,2212
2021-02-03,2140
2021-02-04,2080
2021-02-05,1964
2021-02-06,1926
2021-02-07,1938
2021-02-08,1880
2021-02-09,1836
2021-02-10,1748
2021-02-11,1698
2021-02-12,1624
2021-02-13,1610
2021-02-14,1608
2021-02-15,1542
2021-02-16,1532
2021-02-17,1494
2021-02-18,1446
2021-02-19,1400
2021-02-20,1372
2021-02-21,1378
2021-02-22,1360
2021-02-23,1310
2021-02-24,1266
2021-02-25,1240
2021-02-26,1198
2021-02-27,1202
2021-02-28,1224
2021-03-01,1256
2021-03-02,1236
2021-03-03,1252
2021-03-04,1234
2021-03-05,1202
2021-03-06,1184
2021-03-07,1180
2021-03-08,1152
2021-03-09,1162
2021-03-10,1126
2021-03-11,1100
2021-03-12,1102
2021-03-13,1094
2021-03-14,1106
2021-03-15,1066
2021-03-16,1064
2021-03-17,1038
2021-03-18,1008
2021-03-19,1010
2021-03-20,1002
2021-03-21,1026
2021-03-22,1038
2021-03-23,1016
2021-03-24,992
2021-03-25,962
2021-03-26,962
2021-03-27,960
2021-03-28,954
2021-03-29,974
2021-03-30,970
2021-03-31,974
2021-04-01,1006
2021-04-02,1002
2021-04-03,1004
2021-04-04,1006
2021-04-05,1028
2021-04-06,1086
2021-04-07,1132
2021-04-08,1138
2021-04-09,1166
2021-04-10,1216
2021-04-11,1260
2021-04-12,1286
2021-04-13,1320
2021-04-14,1322
2021-04-15,1328
2021-04-16,1384
2021-04-17,1366
2021-04-18,1372
2021-04-19,1388
2021-04-20,1432
2021-04-21,1422
2021-04-22,1368
2021-04-23,1324
2021-04-24,1308
2021-04-25,1328
2021-04-26,1334
2021-04-27,1286
2021-04-28,1246
2021-04-29,1184
2021-04-30,1156
2021-05-01,1148
2021-05-02,1176
2021-05-03,1188
2021-05-04,1176
2021-05-05,1160
2021-05-06,1148
2021-05-07,1094
2021-05-08,1078
2021-05-09,1086
2021-05-10,1080
2021-05-11,1060
2021-05-12,1040
2021-05-13,1060
2021-05-14,1018
2021-05-15,1016
2021-05-16,1002
2021-05-17,968
2021-05-18,932
2021-05-19,920
2021-05-20,874
2021-05-21,848
2021-05-22,842
