"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Alcoholic beverages [C121]","Dollars","81","millions","6","v61988962","1.1.1.5","23332","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Alcoholic beverages [C121]","Dollars","81","millions","6","v61988962","1.1.1.5","23252","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Alcoholic beverages [C121]","Dollars","81","millions","6","v61988962","1.1.1.5","23368","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Alcoholic beverages [C121]","Dollars","81","millions","6","v61988962","1.1.1.5","23248","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Alcoholic beverages [C121]","Dollars","81","millions","6","v61988962","1.1.1.5","24204","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Alcoholic beverages [C121]","Dollars","81","millions","6","v61988962","1.1.1.5","23948","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Alcoholic beverages [C121]","Dollars","81","millions","6","v61988962","1.1.1.5","23708","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tobacco [C122]","Dollars","81","millions","6","v61988963","1.1.1.6","12492","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tobacco [C122]","Dollars","81","millions","6","v61988963","1.1.1.6","12608","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tobacco [C122]","Dollars","81","millions","6","v61988963","1.1.1.6","12520","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tobacco [C122]","Dollars","81","millions","6","v61988963","1.1.1.6","12280","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tobacco [C122]","Dollars","81","millions","6","v61988963","1.1.1.6","12292","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tobacco [C122]","Dollars","81","millions","6","v61988963","1.1.1.6","12132","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tobacco [C122]","Dollars","81","millions","6","v61988963","1.1.1.6","12012","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Cannabis [C123]","Dollars","81","millions","6","v1043024085","1.1.1.61","7366","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Cannabis [C123]","Dollars","81","millions","6","v1043024085","1.1.1.61","7699","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Cannabis [C123]","Dollars","81","millions","6","v1043024085","1.1.1.61","8649","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Cannabis [C123]","Dollars","81","millions","6","v1043024085","1.1.1.61","9402","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Cannabis [C123]","Dollars","81","millions","6","v1043024085","1.1.1.61","9422","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Cannabis [C123]","Dollars","81","millions","6","v1043024085","1.1.1.61","9933","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Cannabis [C123]","Dollars","81","millions","6","v1043024085","1.1.1.61","10815","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing and footwear [C13]","Dollars","81","millions","6","v61988964","1.1.1.7","42266","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing and footwear [C13]","Dollars","81","millions","6","v61988964","1.1.1.7","30277","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing and footwear [C13]","Dollars","81","millions","6","v61988964","1.1.1.7","47058","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing and footwear [C13]","Dollars","81","millions","6","v61988964","1.1.1.7","44344","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing and footwear [C13]","Dollars","81","millions","6","v61988964","1.1.1.7","42555","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing and footwear [C13]","Dollars","81","millions","6","v61988964","1.1.1.7","42277","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing and footwear [C13]","Dollars","81","millions","6","v61988964","1.1.1.7","53825","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing [C131]","Dollars","81","millions","6","v61988965","1.1.1.8","35636","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing [C131]","Dollars","81","millions","6","v61988965","1.1.1.8","25119","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing [C131]","Dollars","81","millions","6","v61988965","1.1.1.8","39380","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing [C131]","Dollars","81","millions","6","v61988965","1.1.1.8","37035","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing [C131]","Dollars","81","millions","6","v61988965","1.1.1.8","35748","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing [C131]","Dollars","81","millions","6","v61988965","1.1.1.8","35681","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Clothing [C131]","Dollars","81","millions","6","v61988965","1.1.1.8","45232","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Footwear [C132]","Dollars","81","millions","6","v61988966","1.1.1.9","6632","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Footwear [C132]","Dollars","81","millions","6","v61988966","1.1.1.9","5168","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Footwear [C132]","Dollars","81","millions","6","v61988966","1.1.1.9","7688","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Footwear [C132]","Dollars","81","millions","6","v61988966","1.1.1.9","7320","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Footwear [C132]","Dollars","81","millions","6","v61988966","1.1.1.9","6816","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Footwear [C132]","Dollars","81","millions","6","v61988966","1.1.1.9","6604","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Footwear [C132]","Dollars","81","millions","6","v61988966","1.1.1.9","8604","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Housing, water, electricity, gas and other fuels [C14]","Dollars","81","millions","6","v61988967","1.1.1.10","288694","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Housing, water, electricity, gas and other fuels [C14]","Dollars","81","millions","6","v61988967","1.1.1.10","290686","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Housing, water, electricity, gas and other fuels [C14]","Dollars","81","millions","6","v61988967","1.1.1.10","292965","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Housing, water, electricity, gas and other fuels [C14]","Dollars","81","millions","6","v61988967","1.1.1.10","294745","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Housing, water, electricity, gas and other fuels [C14]","Dollars","81","millions","6","v61988967","1.1.1.10","297479","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Housing, water, electricity, gas and other fuels [C14]","Dollars","81","millions","6","v61988967","1.1.1.10","300079","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Housing, water, electricity, gas and other fuels [C14]","Dollars","81","millions","6","v61988967","1.1.1.10","302295","","","","0"
